Date,Energy.Price
12/11/2017,65.65
13/11/2017,51.26
14/11/2017,53.18
15/11/2017,60.76
16/11/2017,73.19
17/11/2017,75.22
18/11/2017,65.28
19/11/2017,63.96
20/11/2017,74.73
21/11/2017,71.63
22/11/2017,61.13
23/11/2017,53.13
24/11/2017,58.32
25/11/2017,61.19
26/11/2017,58.48
27/11/2017,60.28
28/11/2017,76.04
29/11/2017,73.55
30/11/2017,62.98
01/12/2017,75.76
02/12/2017,68.61
03/12/2017,63.22
04/12/2017,72.75
05/12/2017,75.43
06/12/2017,85.19
07/12/2017,76.97
08/12/2017,66.97
09/12/2017,72.47
10/12/2017,60.57
11/12/2017,42.62
12/12/2017,59
13/12/2017,75.37
14/12/2017,59.11
15/12/2017,54.94
16/12/2017,60.84
17/12/2017,62.04
18/12/2017,63.96
19/12/2017,55.13
20/12/2017,59.24
21/12/2017,66.33
22/12/2017,67.38
23/12/2017,55.87
24/12/2017,57.14
25/12/2017,70.49
26/12/2017,54.37
27/12/2017,36.06
28/12/2017,48.51
29/12/2017,53.42
30/12/2017,41.01
31/12/2017,41.44
01/01/2018,20.76
02/01/2018,29.42
03/01/2018,22.7
04/01/2018,36.5
05/01/2018,38.47
06/01/2018,62.76
07/01/2018,48.65
08/01/2018,71.54
09/01/2018,72.24
10/01/2018,65.84
11/01/2018,45.39
12/01/2018,59.98
13/01/2018,59.8
14/01/2018,53.24
15/01/2018,64.88
16/01/2018,48.94
17/01/2018,47.32
18/01/2018,63.53
19/01/2018,62.39
20/01/2018,62.08
21/01/2018,46.61
22/01/2018,62.18
23/01/2018,62.85
24/01/2018,64.92
25/01/2018,62.61
26/01/2018,48.6
27/01/2018,55.23
28/01/2018,61.13
29/01/2018,60.46
30/01/2018,51.91
31/01/2018,62.05
01/02/2018,63.7
02/02/2018,49.69
03/02/2018,62.54
04/02/2018,54.91
05/02/2018,62.25
06/02/2018,50.74
07/02/2018,52.94
08/02/2018,65.66
09/02/2018,65.43
